Year,Month,Month Code,District Code,District,TANF Cases with Earned Income,TANF Average Gross Earned Income,TANF Average Net Earned Income,SNA MOE Cases with Earned Income,SNA MOE Average Gross Earned Income,SNA MOE Average Net Earned Income,SNA Non-MOE Cases with Earned Income,SNA Non-MOE Average Gross Earned Income,SNA Non-MOE Average Net Earned Income
2020,April,4,17,Fulton,1,217,60,1,1625,721,0,0,0
2020,April,4,18,Genesee,1,864,322,0,0,0,0,0,0
2020,April,4,19,Greene,6,711,292,3,583,232,3,788,575
2020,April,4,20,Hamilton,0,0,0,0,0,0,0,0,0
2020,April,4,21,Herkimer,5,553,212,1,1849,827,1,175,85
2020,April,4,22,Jefferson,13,660,268,14,711,313,18,369,198
2020,April,4,23,Lewis,0,0,0,0,0,0,0,0,0
2020,April,4,24,Livingston,8,808,338,3,1147,497,8,492,237
2020,April,4,25,Madison,1,429,159,2,1147,497,0,0,0
2020,April,4,26,Monroe,161,836,350,240,1007,430,96,738,368
2020,April,4,27,Montgomery,9,1020,437,10,891,377,4,1102,503
2020,April,4,28,Nassau,145,1240,593,103,1347,631,105,1345,902
2020,April,4,66,New York City,6972,1425,731,6095,1290,591,7507,1770,1245
2020,April,4,29,Niagara,18,807,337,35,999,428,8,458,196
2020,April,4,30,Oneida,53,883,357,86,1149,497,49,998,441
2020,April,4,31,Onondaga,154,888,386,115,1037,448,66,1182,544
2020,April,4,32,Ontario,8,676,278,1,1052,452,7,1216,943
2020,April,4,33,Orange,65,1067,461,45,1116,503,12,1367,655
2020,April,4,34,Orleans,11,1111,480,5,1195,519,6,747,354
2020,April,4,35,Oswego,25,600,241,11,1034,489,25,648,283
2020,April,4,36,Otsego,2,467,177,0,0,0,0,0,0
2020,April,4,37,Putnam,1,1346,590,0,0,0,0,0,0
2020,April,4,38,Rensselaer,26,982,436,43,1013,434,8,1047,481
2020,April,4,39,Rockland,50,944,398,11,1416,598,18,1493,687
2020,April,4,41,Saratoga,3,246,73,1,737,304,1,272,182
2020,April,4,42,Schenectady,27,789,328,27,986,421,10,1187,649
2020,April,4,43,Schoharie,1,912,386,0,0,0,2,616,546
2020,April,4,44,Schuyler,1,331,114,0,0,0,2,299,159
2020,April,4,45,Seneca,0,0,0,2,1043,448,3,1065,724
2020,April,4,46,Steuben,10,830,349,5,294,94,16,625,426
2020,April,4,40,St. Lawrence,12,534,216,16,770,321,14,559,249
2020,April,4,47,Suffolk,176,1310,640,146,1441,682,94,1323,789
2020,April,4,48,Sullivan,12,1008,461,4,1248,544,5,1022,428
2020,April,4,49,Tioga,0,0,0,0,0,0,0,0,0
2020,April,4,50,Tompkins,7,840,352,5,692,283,15,869,783
2020,April,4,51,Ulster,6,762,316,10,864,364,13,910,595
2020,April,4,52,Warren,4,1292,565,1,1706,917,5,207,123
2020,April,4,53,Washington,6,829,346,0,0,0,6,500,221
2020,April,4,54,Wayne,9,1001,428,1,138,23,3,636,546
2020,April,4,55,Westchester,184,1094,484,90,1163,510,31,1154,745
2020,April,4,56,Wyoming,0,0,0,0,0,0,0,0,0
2020,April,4,57,Yates,1,459,173,0,0,0,1,920,390
2020,March,3,1,Albany,40,948,403,28,1018,436,14,1420,749
2020,March,3,2,Allegany,6,611,242,4,527,205,3,789,343
2020,March,3,3,Broome,25,839,348,21,1027,440,17,662,291
2020,March,3,4,Cattaraugus,15,684,328,2,722,297,6,153,36
2020,March,3,5,Cayuga,7,1024,472,10,997,423,5,735,388
2020,March,3,6,Chautauqua,42,735,327,29,831,348,18,665,404
2020,March,3,7,Chemung,4,723,297,0,0,0,1,484,394
2020,March,3,8,Chenango,2,946,402,1,265,82,0,0,0
2020,March,3,9,Clinton,5,1186,515,5,342,169,5,665,407
2020,March,3,10,Columbia,11,777,332,5,1064,527,7,877,691
2020,March,3,11,Cortland,10,961,409,6,961,410,4,298,204
2020,March,3,12,Delaware,2,1149,498,1,940,400,4,195,73
2020,March,3,13,Dutchess,29,1209,576,9,835,351,9,1171,708
2020,March,3,14,Erie,239,998,424,278,1127,488,195,1294,579
2020,March,3,15,Essex,0,0,0,0,0,0,0,0,0
2020,March,3,16,Franklin,12,684,281,3,1100,475,11,373,150
2020,March,3,17,Fulton,2,542,212,2,1227,730,0,0,0
2020,March,3,18,Genesee,1,864,322,0,0,0,0,0,0
2020,March,3,19,Greene,6,711,292,3,583,232,4,688,506
2020,March,3,20,Hamilton,0,0,0,0,0,0,0,0,0
2020,March,3,21,Herkimer,5,553,213,3,1268,554,3,301,211
2020,March,3,22,Jefferson,17,728,300,13,756,336,18,347,199
2020,March,3,23,Lewis,0,0,0,0,0,0,0,0,0
2020,March,3,24,Livingston,12,815,341,5,970,414,8,608,359
2020,March,3,25,Madison,1,429,159,2,1147,497,1,341,251
2020,March,3,26,Monroe,189,880,370,275,1016,436,96,730,362
2020,March,3,27,Montgomery,10,1057,454,11,832,351,6,1036,478
2020,March,3,28,Nassau,151,1243,594,111,1338,625,106,1333,901
2020,March,3,66,New York City,6892,1419,728,6053,1280,585,7298,1749,1217
2020,March,3,29,Niagara,26,790,330,38,1018,437,14,781,398
2020,March,3,30,Oneida,60,954,392,86,1162,504,51,1003,442
2020,March,3,31,Onondaga,180,935,406,137,1073,464,70,1210,560
2020,March,3,32,Ontario,11,730,303,1,1052,452,8,1107,797
2020,March,3,33,Orange,83,1046,453,53,1054,471,18,1335,623
2020,March,3,34,Orleans,14,1108,479,6,1274,557,6,836,395
2020,March,3,35,Oswego,29,577,230,11,1034,489,29,670,289
2020,March,3,36,Otsego,2,467,177,0,0,0,1,1038,948
2020,March,3,37,Putnam,1,1346,590,0,0,0,0,0,0
2020,March,3,38,Rensselaer,35,908,386,51,1071,477,11,1101,567
2020,March,3,39,Rockland,59,951,402,13,1361,590,20,1386,624
2020,March,3,41,Saratoga,4,397,145,1,737,304,1,643,553
2020,March,3,42,Schenectady,28,827,346,31,1011,433,14,1152,718
2020,March,3,43,Schoharie,0,0,0,0,0,0,3,490,413
2020,March,3,44,Schuyler,0,0,0,0,0,0,1,277,187
2020,March,3,45,Seneca,0,0,0,2,1043,448,3,1185,843
2020,March,3,46,Steuben,9,850,359,5,294,94,16,509,306
2020,March,3,40,St. Lawrence,15,564,229,18,782,326,15,567,254
2020,March,3,47,Suffolk,188,1331,648,156,1478,702,97,1300,798
2020,March,3,48,Sullivan,12,917,390,4,1248,544,6,1003,421
2020,March,3,49,Tioga,0,0,0,0,0,0,0,0,0
2020,March,3,50,Tompkins,10,957,417,5,955,407,13,693,609
2020,March,3,51,Ulster,7,857,360,12,868,368,14,919,581
2020,March,3,52,Warren,3,1000,428,1,1706,917,4,157,75
2020,March,3,53,Washington,4,1000,426,0,0,0,5,563,246
2020,March,3,54,Wayne,6,1002,429,1,138,23,2,400,310
2020,March,3,55,Westchester,203,1115,497,92,1180,522,38,1169,745
2020,March,3,56,Wyoming,1,844,354,1,734,303,0,0,0
2020,March,3,57,Yates,2,382,137,0,0,0,0,0,0
2020,February,2,1,Albany,45,971,414,26,956,405,23,1460,823
2020,February,2,2,Allegany,9,603,239,4,452,171,3,557,254
2020,February,2,3,Broome,26,817,335,29,979,418,20,678,303
2020,February,2,4,Cattaraugus,16,666,271,2,722,297,4,236,79
2020,February,2,5,Cayuga,10,985,441,8,1018,438,4,620,355
2020,February,2,6,Chautauqua,41,752,311,32,813,340,17,633,347
2020,February,2,7,Chemung,3,906,383,1,997,426,1,818,342
2020,February,2,8,Chenango,4,815,341,1,265,82,1,30,0
2020,February,2,9,Clinton,6,1330,583,4,506,250,7,601,511
2020,February,2,10,Columbia,8,835,363,6,1007,497,4,929,672
2020,February,2,11,Cortland,11,960,431,7,946,402,5,454,249
2020,February,2,12,Delaware,2,1149,498,1,940,400,4,189,71
2020,February,2,13,Dutchess,30,1376,677,13,1092,532,12,1479,971
2020,February,2,14,Erie,262,1004,427,276,1129,488,197,1334,600
2020,February,2,15,Essex,1,721,297,0,0,0,0,0,0
2020,February,2,16,Franklin,12,676,277,3,778,323,10,343,139
2020,February,2,17,Fulton,3,575,228,1,829,739,0,0,0
2020,February,2,18,Genesee,2,813,319,1,716,294,0,0,0
2020,February,2,19,Greene,7,648,262,3,600,226,5,728,565
2020,February,2,20,Hamilton,0,0,0,0,0,0,0,0,0
2020,February,2,21,Herkimer,5,607,239,3,1098,474,2,254,164
2020,February,2,22,Jefferson,18,776,322,13,683,302,17,359,208
2020,February,2,23,Lewis,0,0,0,0,0,0,0,0,0
2020,February,2,24,Livingston,12,872,367,6,808,337,5,483,238
2020,February,2,25,Madison,3,612,245,2,665,270,0,0,0
2020,February,2,26,Monroe,206,893,375,288,1027,440,91,708,356
2020,February,2,27,Montgomery,11,1108,478,13,812,356,4,925,440
2020,February,2,28,Nassau,163,1252,607,110,1362,637,103,1361,923
2020,February,2,66,New York City,6979,1414,725,6094,1280,586,7301,1764,1232
2020,February,2,29,Niagara,29,760,316,38,1064,459,14,636,295
2020,February,2,30,Oneida,67,922,378,89,1157,501,48,1015,448
2020,February,2,31,Onondaga,204,954,414,150,1016,438,79,1120,531
2020,February,2,32,Ontario,12,668,273,1,1052,452,9,986,599
2020,February,2,33,Orange,90,1022,446,54,1090,482,23,1233,565
2020,February,2,34,Orleans,17,1020,437,6,1048,450,3,913,398
2020,February,2,35,Oswego,28,633,256,18,1094,472,25,628,266
2020,February,2,36,Otsego,2,467,177,0,0,0,2,478,388
2020,February,2,37,Putnam,1,1346,590,1,907,817,0,0,0
2020,February,2,38,Rensselaer,36,930,395,57,1020,458,12,1159,523
2020,February,2,39,Rockland,63,944,408,11,1286,538,21,1370,661
2020,February,2,41,Saratoga,3,445,167,1,737,304,1,643,553
2020,February,2,42,Schenectady,31,964,414,34,1012,433,16,1123,647
2020,February,2,43,Schoharie,0,0,0,0,0,0,3,103,36
2020,February,2,44,Schuyler,0,0,0,0,0,0,2,513,248
